Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,FaultBus,SampleCount,ExactBusAccuracy,GraphDistanceMAE,MajorConfusionBus,MajorConfusionCount
ieee14,RandomForest,Baseline,5,2;6;9;11;4,360,180,40,6,36,0.027777777777777776,1.9444444444444444,2,35
ieee14,RandomForest,Baseline,5,2;6;9;11;4,360,180,40,9,36,0.0,2.0,2,36
ieee14,RandomForest,Baseline,5,2;6;9;11;4,360,180,40,11,36,0.0,3.0,2,36
ieee14,RandomForest,Baseline,5,2;6;9;11;4,360,180,40,14,36,0.0,3.0,2,36
ieee14,ExtraTrees,Baseline+NormVI,5,2;6;9;11;4,360,180,44,2,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI,5,2;6;9;11;4,360,180,44,6,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI,5,2;6;9;11;4,360,180,44,9,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI,5,2;6;9;11;4,360,180,44,11,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI,5,2;6;9;11;4,360,180,44,14,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI,5,2;6;9;11;4,360,180,44,2,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI,5,2;6;9;11;4,360,180,44,6,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI,5,2;6;9;11;4,360,180,44,9,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI,5,2;6;9;11;4,360,180,44,11,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI,5,2;6;9;11;4,360,180,44,14,36,0.0,2.0,6,36
ieee14,ExtraTrees,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,2,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,6,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,9,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,11,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,14,36,0.08333333333333333,1.8333333333333333,6,33
ieee14,RandomForest,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,2,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,6,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,9,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,11,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,14,36,0.08333333333333333,1.8333333333333333,6,33
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,2,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,6,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,9,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,11,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,14,36,0.25,1.5,6,27
ieee14,RandomForest,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,2,36,1.0,0.0,-1,0
