Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,CoarseAccuracy,CoarseMacroF1,CoarseMacroPrecision,CoarseMacroRecall
ieee30,ExtraTrees,Baseline,5,6;1;2;3;4,360,180,40,0.35555555555555557,0.34291952050908464,0.7598343685300207,0.4666666666666666
ieee30,RandomForest,Baseline,5,6;1;2;3;4,360,180,40,0.6333333333333333,0.6659919028340081,0.8018018018018017,0.7555555555555555
ieee30,ExtraTrees,Baseline+NormVI,5,6;1;2;3;4,360,180,44,0.5,0.5246768507638073,0.7777777777777778,0.5888888888888889
ieee30,RandomForest,Baseline+NormVI,5,6;1;2;3;4,360,180,44,0.3,0.25,0.42105263157894735,0.39999999999999997
ieee30,ExtraTrees,Baseline+NormVI+Rank,5,6;1;2;3;4,360,180,46,0.3333333333333333,0.3067751838366531,0.7575757575757575,0.43703703703703706
ieee30,RandomForest,Baseline+NormVI+Rank,5,6;1;2;3;4,360,180,46,0.3,0.25,0.42105263157894735,0.39999999999999997
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,5,6;1;2;3;4,360,180,48,0.7166666666666667,0.7397498603808264,0.80006105006105,0.8037037037037037
ieee30,RandomForest,Baseline+NormVI+Rank+VI,5,6;1;2;3;4,360,180,48,0.3388888888888889,0.3184040578346014,0.4247967479674797,0.4518518518518519
ieee30,ExtraTrees,SpatialOnly,5,6;1;2;3;4,360,180,8,0.5277777777777778,0.44583934583934576,0.47481481481481486,0.47777777777777786
ieee30,RandomForest,SpatialOnly,5,6;1;2;3;4,360,180,8,0.5555555555555556,0.48590364418443577,0.4918569762718971,0.48518518518518516
ieee30,ExtraTrees,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,40,0.37777777777777777,0.35386936751927617,0.7622080679405521,0.45555555555555555
ieee30,RandomForest,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,40,0.25,0.13333333333333333,0.08333333333333333,0.3333333333333333
ieee30,ExtraTrees,Baseline+NormVI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,44,0.3388888888888889,0.3144713335568672,0.758130081300813,0.4407407407407407
ieee30,RandomForest,Baseline+NormVI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,44,0.25,0.13333333333333333,0.08333333333333333,0.3333333333333333
ieee30,ExtraTrees,Baseline+NormVI+Rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,46,0.3055555555555556,0.2546565681617287,0.7549019607843137,0.39999999999999997
ieee30,RandomForest,Baseline+NormVI+Rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,46,0.25,0.13333333333333333,0.08333333333333333,0.3333333333333333
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,48,0.25,0.13333333333333333,0.08333333333333333,0.3333333333333333
ieee30,RandomForest,Baseline+NormVI+Rank+VI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,48,0.25,0.13333333333333333,0.08333333333333333,0.3333333333333333
ieee30,ExtraTrees,SpatialOnly,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,8,0.49444444444444446,0.3490225109346757,0.3465579960399687,0.38148148148148153
ieee30,RandomForest,SpatialOnly,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,8,0.5055555555555555,0.3849496648214327,0.39177137225917713,0.4037037037037037
