Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,CoarseCategory,SampleCount,Accuracy
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,Ground,90,0.0
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,Phase,45,0.8444444444444444
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,ThreePhase,45,1.0
ieee14,RandomForest,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,Ground,90,0.0
ieee14,RandomForest,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,Phase,45,0.0
ieee14,RandomForest,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,ThreePhase,45,1.0
ieee14,ExtraTrees,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,44,Ground,90,0.35555555555555557
ieee14,ExtraTrees,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,44,Phase,45,0.6222222222222222
ieee14,ExtraTrees,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,44,ThreePhase,45,1.0
ieee14,RandomForest,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,44,Ground,90,0.0
ieee14,RandomForest,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,44,Phase,45,0.0
ieee14,RandomForest,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,44,ThreePhase,45,1.0
ieee14,ExtraTrees,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,46,Ground,90,0.0
ieee14,ExtraTrees,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,46,Phase,45,0.8666666666666667
ieee14,ExtraTrees,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,46,ThreePhase,45,1.0
ieee14,RandomForest,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,46,Ground,90,0.0
