Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,FaultTypeAccuracy,FaultTypeMacroF1,FaultTypeMacroPrecision,FaultTypeMacroRecall
ieee30,ExtraTrees,Baseline+NormVI+Rank,5,6;1;2;3;4,360,180,46,0.37222222222222223,0.30495320433346307,0.5712025316455697,0.37222222222222223
ieee30,RandomForest,Baseline+NormVI+Rank,5,6;1;2;3;4,360,180,46,0.5,0.3970588235294118,0.49702380952380953,0.5
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,5,6;1;2;3;4,360,180,48,0.40555555555555556,0.34358247538299347,0.5283944658944659,0.40555555555555556
ieee30,RandomForest,Baseline+NormVI+Rank+VI,5,6;1;2;3;4,360,180,48,0.38333333333333336,0.3057539104245604,0.46259990009990004,0.3833333333333333
ieee30,ExtraTrees,SpatialOnly,5,6;1;2;3;4,360,180,8,0.5055555555555555,0.5111347133086264,0.5356763288027822,0.5055555555555555
ieee30,RandomForest,SpatialOnly,5,6;1;2;3;4,360,180,8,0.39444444444444443,0.39976909055856424,0.4184103090990139,0.39444444444444443
ieee30,ExtraTrees,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,40,0.4444444444444444,0.3946691226264322,0.5775862068965517,0.4444444444444444
ieee30,RandomForest,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,40,0.4,0.2857142857142857,0.265625,0.4
ieee30,ExtraTrees,Baseline+NormVI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,44,0.29444444444444445,0.179158334057908,0.31540697674418605,0.29444444444444445
ieee30,RandomForest,Baseline+NormVI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,44,0.3277777777777778,0.22527913888665757,0.3177710843373494,0.3277777777777778
ieee30,ExtraTrees,Baseline+NormVI+Rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,46,0.3277777777777778,0.23609935680433308,0.5677710843373494,0.3277777777777778
ieee30,RandomForest,Baseline+NormVI+Rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,46,0.25,0.1,0.0625,0.25
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,48,0.2777777777777778,0.15227272727272728,0.3142857142857143,0.2777777777777778
ieee30,RandomForest,Baseline+NormVI+Rank+VI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,48,0.48333333333333334,0.32346442775077333,0.24429753101892465,0.48333333333333334
ieee30,ExtraTrees,SpatialOnly,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,8,0.4222222222222222,0.41554545454545455,0.5068181818181818,0.42222222222222217
ieee30,RandomForest,SpatialOnly,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,8,0.35,0.33539438502673796,0.6458333333333333,0.35
