Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE
ieee30,RandomForest,Baseline+NormVI,5,6;1;2;3;4,360,180,44,0.9388888888888889,0.9388888888888889,0.18888888888888888
ieee30,ExtraTrees,Baseline+NormVI+Rank,5,6;1;2;3;4,360,180,46,0.9166666666666666,0.9166666666666666,0.3
ieee30,RandomForest,Baseline+NormVI+Rank,5,6;1;2;3;4,360,180,46,0.9111111111111111,0.9111111111111111,0.31666666666666665
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,5,6;1;2;3;4,360,180,48,0.8111111111111111,0.8111111111111111,0.5277777777777778
ieee30,RandomForest,Baseline+NormVI+Rank+VI,5,6;1;2;3;4,360,180,48,0.75,0.75,0.7
ieee30,ExtraTrees,SpatialOnly,5,6;1;2;3;4,360,180,8,0.6777777777777778,0.6777777777777778,1.0166666666666666
ieee30,RandomForest,SpatialOnly,5,6;1;2;3;4,360,180,8,0.6055555555555555,0.6055555555555555,1.1555555555555554
ieee30,ExtraTrees,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,40,0.6388888888888888,0.6388888888888888,1.5555555555555556
ieee30,RandomForest,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,40,0.2,0.2,3.0
ieee30,ExtraTrees,Baseline+NormVI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,44,1.0,1.0,0.0
ieee30,RandomForest,Baseline+NormVI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,44,1.0,1.0,0.0
ieee30,ExtraTrees,Baseline+NormVI+Rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,46,1.0,1.0,0.0
ieee30,RandomForest,Baseline+NormVI+Rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,46,1.0,1.0,0.0
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,48,1.0,1.0,0.0
ieee30,RandomForest,Baseline+NormVI+Rank+VI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,48,1.0,1.0,0.0
ieee30,ExtraTrees,SpatialOnly,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,8,1.0,1.0,0.0
ieee30,RandomForest,SpatialOnly,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,8,1.0,1.0,0.0
