,Normal,LoadSwitch,CapSwitch,SLG,LL,LLG,ThreePhase
Normal,1,3,3,0,0,0,0
LoadSwitch,0,138,0,1,0,0,1
CapSwitch,0,1,139,0,0,0,0
SLG,0,2,0,179,6,21,2
LL,0,0,0,6,200,3,1
LLG,0,0,0,17,4,173,16
ThreePhase,0,1,0,3,1,14,191
