,Normal,LoadSwitch,CapSwitch,SLG,LL,LLG,ThreePhase
Normal,7,0,0,0,0,0,0
LoadSwitch,0,140,0,0,0,0,0
CapSwitch,0,0,140,0,0,0,0
SLG,0,0,0,210,0,0,0
LL,0,0,0,0,210,0,0
LLG,0,0,0,0,0,210,0
ThreePhase,0,0,0,0,0,0,210
