,Normal,LoadSwitch,CapSwitch,SLG,LL,LLG,ThreePhase
Normal,2,2,1,0,2,0,0
LoadSwitch,0,137,1,0,0,1,1
CapSwitch,1,0,124,2,6,3,4
SLG,0,0,2,185,6,5,12
LL,0,0,0,5,202,3,0
LLG,0,1,0,9,2,185,13
ThreePhase,0,0,1,3,1,14,191
