,Normal,LoadSwitch,CapSwitch,SLG,LL,LLG,ThreePhase
Normal,6,0,0,1,0,0,0
LoadSwitch,0,9,68,0,0,0,0
CapSwitch,0,72,5,0,0,0,0
SLG,0,0,0,94,2,1,1
LL,0,0,0,2,92,3,1
LLG,0,0,0,0,3,86,9
ThreePhase,0,0,0,0,0,4,94
