Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,CaseCount,FaultCaseCount,FeatureColumnsPerWMU,FaultDetectionAccuracy,FaultDetectionPrecision,FaultDetectionRecall,FaultDetectionF1,FalsePositiveRate,FalseNegativeRate,TN,FP,FN,TP,ExactBusAccuracy,OneHopAccuracy,Top3Accuracy,GraphDistanceMAE,EventMacroF1,EventBalancedAccuracy
ieee14,ExtraTrees,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,553,392,6,0.9981916817359855,0.9974554707379135,1.0,0.9987261146496815,0.006211180124223602,0.0,160,1,0,392,0.9974489795918368,1.0,1.0,0.002551020408163265,0.6311298662209508,0.6232441028359396
ieee14,RandomForest,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,553,392,6,0.9963833634719711,1.0,0.9948979591836735,0.9974424552429667,0.0,0.00510204081632653,161,0,2,390,0.9974489795918368,1.0,1.0,0.002551020408163265,0.6613706411705762,0.6610124569308242
ieee30,ExtraTrees,Baseline,3,6;1;2,1127,840,40,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,RandomForest,Baseline,3,6;1;2,1127,840,40,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,ExtraTrees,Baseline+NormVI,3,6;1;2,1127,840,44,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,RandomForest,Baseline+NormVI,3,6;1;2,1127,840,44,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,ExtraTrees,Baseline+NormVI+Rank,3,6;1;2,1127,840,46,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,RandomForest,Baseline+NormVI+Rank,3,6;1;2,1127,840,46,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,ExtraTrees,SpatialOnly,3,6;1;2,1127,840,6,0.974267968056788,0.9742690058479532,0.9916666666666667,0.9828908554572271,0.07665505226480836,0.008333333333333333,265,22,7,833,0.9785714285714285,0.9880952380952381,1.0,0.04880952380952381,0.8745867574263128,0.8646258503401362
ieee30,RandomForest,SpatialOnly,3,6;1;2,1127,840,6,0.9795918367346939,0.9777777777777777,0.9952380952380953,0.9864306784660767,0.06620209059233449,0.004761904761904762,268,19,4,836,0.969047619047619,0.9857142857142858,0.9976190476190476,0.05714285714285714,0.8430171464165842,0.8261904761904761
ieee30,ExtraTrees,Baseline,5,6;1;2;3;4,1127,840,40,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,RandomForest,Baseline,5,6;1;2;3;4,1127,840,40,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,ExtraTrees,Baseline+NormVI,5,6;1;2;3;4,1127,840,44,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,RandomForest,Baseline+NormVI,5,6;1;2;3;4,1127,840,44,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,ExtraTrees,Baseline+NormVI+Rank,5,6;1;2;3;4,1127,840,46,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,RandomForest,Baseline+NormVI+Rank,5,6;1;2;3;4,1127,840,46,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
