,Normal,LoadSwitch,CapSwitch,SLG,LL,LLG,ThreePhase
Normal,7,0,0,0,0,0,0
LoadSwitch,0,13,64,0,0,0,0
CapSwitch,0,70,7,0,0,0,0
SLG,0,0,0,88,6,4,0
LL,0,0,0,7,84,7,0
LLG,0,0,0,0,7,85,6
ThreePhase,0,1,1,0,0,5,91
