RawCsvFile,FileSizeBytes,NumRows,NumColumns,HasTimeColumn,HasExpected181Columns,MissingExpectedColumnsFirst20,InvalidNaNInfTokenCount,SampledMedianTimeStep,Status
SSO_ThreePhase_Fault_Bus16.csv,34101607,10001,181,True,True,,0,5e-05,OK
SSO_ThreePhase_Fault_Bus17.csv,34095723,10001,181,True,True,,0,5e-05,OK
SSO_ThreePhase_Fault_Bus18.csv,34105110,10001,181,True,True,,0,5e-05,OK
SSO_ThreePhase_Fault_Bus19.csv,34108609,10001,181,True,True,,0,5e-05,OK
SSO_ThreePhase_Fault_Bus20.csv,34105775,10001,181,True,True,,0,5e-05,OK
SSO_ThreePhase_Fault_Bus21.csv,34103221,10001,181,True,True,,0,5e-05,OK
SSO_ThreePhase_Fault_Bus22.csv,34111506,10001,181,True,True,,0,5e-05,OK
SSO_ThreePhase_Fault_Bus23.csv,34095016,10001,181,True,True,,0,5e-05,OK
SSO_ThreePhase_Fault_Bus24.csv,34103053,10001,181,True,True,,0,5e-05,OK
SSO_ThreePhase_Fault_Bus25.csv,34112191,10001,181,True,True,,0,5e-05,OK
SSO_ThreePhase_Fault_Bus26.csv,34096634,10001,181,True,True,,0,5e-05,OK
SSO_ThreePhase_Fault_Bus27.csv,34120580,10001,181,True,True,,0,5e-05,OK
SSO_ThreePhase_Fault_Bus28.csv,34097251,10001,181,True,True,,0,5e-05,OK
SSO_ThreePhase_Fault_Bus29.csv,34094686,10001,181,True,True,,0,5e-05,OK
SSO_ThreePhase_Fault_Bus30.csv,34098279,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus02.csv,34106274,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus03.csv,34105981,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus04.csv,34105855,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus05.csv,34105543,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus07.csv,34105827,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus08.csv,34107037,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus10.csv,34105899,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus12.csv,34104753,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus14.csv,34106461,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus15.csv,34105209,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus16.csv,34106145,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus17.csv,34106347,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus18.csv,34105025,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus19.csv,34106196,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus20.csv,34104634,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus21.csv,34105300,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus23.csv,34105736,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus24.csv,34105935,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus26.csv,34105144,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus29.csv,34104948,10001,181,True,True,,0,5e-05,OK
E1_LoadSwitch5pct_Bus30.csv,34104739,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus02.csv,34107877,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus03.csv,34104017,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus04.csv,34105706,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus05.csv,34081155,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus07.csv,34102423,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus08.csv,34110028,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus10.csv,34105379,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus12.csv,34099559,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus14.csv,34104833,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus15.csv,34105566,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus16.csv,34105172,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus17.csv,34101293,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus18.csv,34104126,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus19.csv,34105709,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus20.csv,34103726,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus21.csv,34101886,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus23.csv,34104533,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus24.csv,34098253,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus26.csv,34100193,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus29.csv,34102162,10001,181,True,True,,0,5e-05,OK
E2_LoadSwitch30pct_Bus30.csv,34097722,10001,181,True,True,,0,5e-05,OK
