CaseName,EventType,EventSubtype,TargetBus,LoadSwitchPct,FaultType,RawCsvRelativePath,FileExists,FileSizeBytes,NumRows,NumColumns
SSO_SLG_Fault_Bus15,SSO_SLG_Fault,SLG,15,,SLG,raw_waveforms/SSO_SLG_Fault_Bus15.csv,True,34105679,10001,181
SSO_SLG_Fault_Bus16,SSO_SLG_Fault,SLG,16,,SLG,raw_waveforms/SSO_SLG_Fault_Bus16.csv,True,34103811,10001,181
SSO_SLG_Fault_Bus17,SSO_SLG_Fault,SLG,17,,SLG,raw_waveforms/SSO_SLG_Fault_Bus17.csv,True,34102315,10001,181
SSO_SLG_Fault_Bus18,SSO_SLG_Fault,SLG,18,,SLG,raw_waveforms/SSO_SLG_Fault_Bus18.csv,True,34103257,10001,181
SSO_SLG_Fault_Bus19,SSO_SLG_Fault,SLG,19,,SLG,raw_waveforms/SSO_SLG_Fault_Bus19.csv,True,34104486,10001,181
SSO_SLG_Fault_Bus20,SSO_SLG_Fault,SLG,20,,SLG,raw_waveforms/SSO_SLG_Fault_Bus20.csv,True,34102102,10001,181
SSO_SLG_Fault_Bus21,SSO_SLG_Fault,SLG,21,,SLG,raw_waveforms/SSO_SLG_Fault_Bus21.csv,True,34103404,10001,181
SSO_SLG_Fault_Bus22,SSO_SLG_Fault,SLG,22,,SLG,raw_waveforms/SSO_SLG_Fault_Bus22.csv,True,34106511,10001,181
SSO_SLG_Fault_Bus23,SSO_SLG_Fault,SLG,23,,SLG,raw_waveforms/SSO_SLG_Fault_Bus23.csv,True,34101466,10001,181
SSO_SLG_Fault_Bus24,SSO_SLG_Fault,SLG,24,,SLG,raw_waveforms/SSO_SLG_Fault_Bus24.csv,True,34104018,10001,181
SSO_SLG_Fault_Bus25,SSO_SLG_Fault,SLG,25,,SLG,raw_waveforms/SSO_SLG_Fault_Bus25.csv,True,34105639,10001,181
SSO_SLG_Fault_Bus26,SSO_SLG_Fault,SLG,26,,SLG,raw_waveforms/SSO_SLG_Fault_Bus26.csv,True,34101869,10001,181
SSO_SLG_Fault_Bus27,SSO_SLG_Fault,SLG,27,,SLG,raw_waveforms/SSO_SLG_Fault_Bus27.csv,True,34105610,10001,181
SSO_SLG_Fault_Bus28,SSO_SLG_Fault,SLG,28,,SLG,raw_waveforms/SSO_SLG_Fault_Bus28.csv,True,33946852,10001,181
SSO_SLG_Fault_Bus29,SSO_SLG_Fault,SLG,29,,SLG,raw_waveforms/SSO_SLG_Fault_Bus29.csv,True,34100737,10001,181
SSO_SLG_Fault_Bus30,SSO_SLG_Fault,SLG,30,,SLG,raw_waveforms/SSO_SLG_Fault_Bus30.csv,True,34101608,10001,181
SSO_ThreePhase_Fault_Bus01,SSO_ThreePhase_Fault,ThreePhase,1,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus01.csv,True,34072529,10001,181
SSO_ThreePhase_Fault_Bus02,SSO_ThreePhase_Fault,ThreePhase,2,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus02.csv,True,33869170,10001,181
SSO_ThreePhase_Fault_Bus03,SSO_ThreePhase_Fault,ThreePhase,3,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus03.csv,True,34097118,10001,181
SSO_ThreePhase_Fault_Bus04,SSO_ThreePhase_Fault,ThreePhase,4,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus04.csv,True,33780728,10001,181
SSO_ThreePhase_Fault_Bus05,SSO_ThreePhase_Fault,ThreePhase,5,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus05.csv,True,33815509,10001,181
