NetworkID,FeatureSpace,ResistancePair,SameBusMeanDistance,SameBusMedianDistance,DifferentBusAt10OhmMeanDistance,SeparationRatio
ieee14,absolute_response,0.1_vs_1,7.4520990430846314,6.7012124353851785,0.14179347309851564,0.019027319991150222
ieee14,absolute_response,0.1_vs_10,8.57839503571513,7.980187047542243,0.14179347309851564,0.01652913773592558
ieee14,absolute_response,1_vs_10,1.7177624009142922,1.6541888931752118,0.14179347309851564,0.08254545158459924
ieee14,normalized_spatial,0.1_vs_1,9.739669659392215,8.561052441249807,13.087462165218236,1.3437275208402637
ieee14,normalized_spatial,0.1_vs_10,17.032349659576028,16.832980093163343,13.087462165218236,0.7683885328093958
ieee14,normalized_spatial,1_vs_10,15.46788275434654,16.336483878449172,13.087462165218236,0.8461055965491208
ieee30,absolute_response,0.1_vs_1,3.5470685866279004,0.10802780569054568,0.005663030889958984,0.001596538310904969
ieee30,absolute_response,0.1_vs_10,3.568181232983884,0.1557552410063933,0.005663030889958984,0.00158709171989655
ieee30,absolute_response,1_vs_10,0.028005958874076944,0.016829964413226435,0.005663030889958984,0.2022080699118942
ieee30,normalized_spatial,0.1_vs_1,15.681193286494182,14.532057902004848,45.440461262600415,2.8977680736667626
ieee30,normalized_spatial,0.1_vs_10,33.551034444518955,19.38964035952798,45.440461262600415,1.3543684126265076
ieee30,normalized_spatial,1_vs_10,29.73205007634459,16.216526746801232,45.440461262600415,1.5283325954961227
