NetworkID,Scenario,Variant,Model,TrainResistanceOhm,TestResistanceOhm,TrainCases,TestCases,MacroF1,precision_SLG,recall_SLG,f1_SLG,support_SLG,precision_LL,recall_LL,f1_LL,support_LL,precision_LLG,recall_LLG,f1_LLG,support_LLG,precision_ThreePhase,recall_ThreePhase,f1_ThreePhase,support_ThreePhase,ExactBusAccuracy,OneHopAccuracy,Top3Accuracy,GraphDistanceMAE,Seen_MacroF1,Seen_ExactBusAccuracy,Seen_OneHopAccuracy,Seen_GraphDistanceMAE,FeatureCount
ieee30,unseen_resistance,Baseline,ExtraTrees,0.1;1.0,10.0,360,180,0.3946691226264322,1.0,0.28888888888888886,0.4482758620689655,45,1.0,0.4888888888888889,0.6567164179104478,45,0.0,0.0,0.0,45,0.3103448275862069,1.0,0.47368421052631576,45,0.6388888888888888,0.6388888888888888,0.9722222222222222,1.5555555555555556,1.0,1.0,1.0,0.0,40
ieee30,unseen_resistance,Experiment A: voltage only,RandomForest,0.1;1.0,10.0,360,180,0.1,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.25,1.0,0.4,45,0.65,0.65,0.9055555555555556,1.5,0.997222136485694,1.0,1.0,0.0,18
ieee30,unseen_resistance,Experiment A: voltage only,ExtraTrees,0.1;1.0,10.0,360,180,0.14262628128174346,0.0,0.0,0.0,45,1.0,0.08888888888888889,0.16326530612244897,45,0.0,0.0,0.0,45,0.2556818181818182,1.0,0.4072398190045249,45,0.6555555555555556,0.6555555555555556,0.9,1.4722222222222223,1.0,1.0,1.0,0.0,18
ieee30,unseen_resistance,Experiment B: current only,RandomForest,0.1;1.0,10.0,360,180,0.11029411764705882,0.2830188679245283,1.0,0.4411764705882353,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.2,0.2,0.9777777777777777,3.0,1.0,1.0,1.0,0.0,18
ieee30,unseen_resistance,Experiment B: current only,ExtraTrees,0.1;1.0,10.0,360,180,0.36186753933803584,0.9473684210526315,0.4,0.5625,45,1.0,0.26666666666666666,0.42105263157894735,45,0.0,0.0,0.0,45,0.30201342281879195,1.0,0.4639175257731959,45,0.2,0.2,0.95,3.0,1.0,1.0,1.0,0.0,18
ieee30,unseen_resistance,Experiment C: existing V+C,RandomForest,0.1;1.0,10.0,360,180,0.1,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.25,1.0,0.4,45,0.26666666666666666,0.26666666666666666,0.95,2.8666666666666667,1.0,1.0,1.0,0.0,40
ieee30,unseen_resistance,Experiment C: existing V+C,ExtraTrees,0.1;1.0,10.0,360,180,0.3443493969502152,1.0,0.3111111111111111,0.4745762711864407,45,1.0,0.28888888888888886,0.4482758620689655,45,0.0,0.0,0.0,45,0.29411764705882354,1.0,0.45454545454545453,45,0.65,0.65,0.95,1.5,1.0,1.0,1.0,0.0,40
ieee30,unseen_resistance,Experiment D: existing + normalized V/I,RandomForest,0.1;1.0,10.0,360,180,0.1,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.25,1.0,0.4,45,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,46
ieee30,unseen_resistance,Experiment D: existing + normalized V/I,ExtraTrees,0.1;1.0,10.0,360,180,0.35850243184188946,1.0,0.13333333333333333,0.23529411764705882,45,1.0,0.5777777777777777,0.7323943661971831,45,0.0,0.0,0.0,45,0.30405405405405406,1.0,0.46632124352331605,45,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,46
ieee30,unseen_resistance,Experiment E: existing + normalized V/I + rank,RandomForest,0.1;1.0,10.0,360,180,0.2857142857142857,0.75,0.6,0.6666666666666666,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.3125,1.0,0.47619047619047616,45,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,50
ieee30,unseen_resistance,Experiment E: existing + normalized V/I + rank,ExtraTrees,0.1;1.0,10.0,360,180,0.179158334057908,1.0,0.17777777777777778,0.3018867924528302,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.2616279069767442,1.0,0.4147465437788018,45,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,50
ieee30,unseen_resistance,Experiment F: existing + normalized V/I + rank + V-I coupled,RandomForest,0.1;1.0,10.0,360,180,0.1,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.25,1.0,0.4,45,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,52
ieee30,unseen_resistance,Experiment F: existing + normalized V/I + rank + V-I coupled,ExtraTrees,0.1;1.0,10.0,360,180,0.15479932301740812,1.0,0.044444444444444446,0.0851063829787234,45,1.0,0.06666666666666667,0.125,45,0.0,0.0,0.0,45,0.2571428571428571,1.0,0.4090909090909091,45,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,52
