NetworkID,Scenario,Model,Placement,k,SelectedWMUBuses,TrainCases,TestCases,MacroF1,precision_SLG,recall_SLG,f1_SLG,support_SLG,precision_LL,recall_LL,f1_LL,support_LL,precision_LLG,recall_LLG,f1_LLG,support_LLG,precision_ThreePhase,recall_ThreePhase,f1_ThreePhase,support_ThreePhase,ExactBusAccuracy,OneHopAccuracy,Top3Accuracy,GraphDistanceMAE
ieee14,unseen_resistance,RandomForest,all_wmu,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,0.1,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.25,1.0,0.4,45,0.2,0.25,0.6277777777777778,1.9555555555555555
ieee14,unseen_resistance,ExtraTrees,all_wmu,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,0.3070064427059364,0.0,0.0,0.0,45,0.5901639344262295,0.8,0.6792452830188679,45,0.0,0.0,0.0,45,0.3781512605042016,1.0,0.5487804878048781,45,0.2,0.2,0.6111111111111112,2.0
ieee30,unseen_resistance,RandomForest,all_wmu,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,0.2857142857142857,0.75,0.6,0.6666666666666666,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.3125,1.0,0.4761904761904761,45,0.2,0.2,0.95,3.0
ieee30,unseen_resistance,ExtraTrees,all_wmu,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,0.3946691226264322,1.0,0.2888888888888888,0.4482758620689655,45,1.0,0.4888888888888889,0.6567164179104478,45,0.0,0.0,0.0,45,0.3103448275862069,1.0,0.4736842105263157,45,0.6388888888888888,0.6388888888888888,0.9722222222222222,1.5555555555555556
