WMUSet,BaseMargin,BaseFeasible,CombinedMargin,CombinedFeasible
1,-0.1017838478324396,False,-0.17822543863096185,False
10,-0.086226095653318,False,-0.12591032452708184,False
11,-0.2009621508924063,False,-0.07897523328021452,False
12,-0.3422000492438088,False,-0.0972206429920267,False
13,-0.2587401622233337,False,-0.15957968398432615,False
14,-0.3180797423199737,False,-0.1190135723104484,False
15,-0.3114032967290637,False,-0.09421403725690847,False
16,-0.1383737963499416,False,-0.1414674778174072,False
17,-0.0466754694853898,False,-0.2325172373313693,False
18,-0.14927615416727,False,-0.11622441824175933,False
19,-0.0292904640956395,False,-0.21523437831153058,False
2,-0.0572882119579627,False,0.03987095961494541,True
20,-0.0352795061943718,False,-0.18105524712297183,False
21,-0.0242921487407387,False,-0.21071383536420707,False
22,0.0015040813586826,True,0.12380256042517879,True
23,-0.0923210841603064,False,-0.23953114795546537,False
24,0.0250789225278936,True,-0.20801920309640243,False
25,0.0283054094724537,True,0.40650904248107217,True
26,-0.0024299573735528,False,-0.24473237346557153,False
27,0.0874893106221303,True,0.5116159026316066,True
28,-0.0496291044087798,False,0.024968492221764782,True
29,-0.0232355184591349,False,-0.18074911525099624,False
3,-0.0406537507924564,False,-0.037561733068829595,False
30,-0.0246644331327693,False,-0.157303893720524,False
4,-0.0425127533807073,False,-0.11067915332449285,False
5,0.1703771534075844,True,-0.13213057127697664,False
6,0.1242829573338,True,0.40629302017235486,True
7,-0.1267520436455929,False,-0.14202178257029352,False
8,-0.1201792959130531,False,-0.2310251962994545,False
9,-0.0181454604372303,False,0.13123041250127074,True
