CaseID,CaseName,EventSubtype,LoadSwitchPct,TargetBus,RawCsvPath,Status,Message,HasTime,HasWideSignals,PostEventChangeMetric,IBRBackgroundMetric20_30Hz,PctComparisonMetric,SanityStatus,SanityMessage
E1_LoadSwitch5pct_Bus05,E1_LoadSwitch5pct_Bus05,LoadSwitch5pct,5,5,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus05.csv,OK,Simulation and export completed.,1,1,0.00427871253236861,1.423400959851e-06,NaN,PASS,CSV/time/wide columns/event change/IBR background/pct scaling checks passed
E1_LoadSwitch5pct_Bus30,E1_LoadSwitch5pct_Bus30,LoadSwitch5pct,5,30,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus30.csv,OK,Simulation and export completed.,1,1,0.000222948015686342,1.40018217474014e-06,NaN,PASS,CSV/time/wide columns/event change/IBR background/pct scaling checks passed
E2_LoadSwitch30pct_Bus05,E2_LoadSwitch30pct_Bus05,LoadSwitch30pct,30,5,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E2_LoadSwitch30pct_Bus05.csv,OK,Simulation and export completed.,1,1,0.0295286836709238,1.60374103801285e-06,6.90130113849393,PASS,CSV/time/wide columns/event change/IBR background/pct scaling checks passed
E2_LoadSwitch30pct_Bus30,E2_LoadSwitch30pct_Bus30,LoadSwitch30pct,30,30,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E2_LoadSwitch30pct_Bus30.csv,OK,Simulation and export completed.,1,1,0.00331588108689612,1.40666438441989e-06,14.8728889857496,PASS,CSV/time/wide columns/event change/IBR background/pct scaling checks passed
