WMUSet,LoadSwitchPct,Cases,FalseAlarmCount,FalseAlarmRate,FalseAlarmCases,MinFaultScore,MaxFaultScore,Threshold
27,5,21,0,0.0,,-0.4420444747220491,-0.4023919525120016,0.21721194671823643
27,15,21,0,0.0,,-0.4353415294599605,-0.35067775671785534,0.21721194671823643
27,30,21,0,0.0,,-0.43871154762682096,-0.2780314320886673,0.21721194671823643
5,5,21,0,0.0,,-0.4202905642099342,-0.20810625741809197,0.12191793928483166
5,15,21,0,0.0,,-0.4174455146289481,0.04116186141697509,0.12191793928483166
5,30,21,1,0.047619047619047616,E2_LoadSwitch30pct_Bus05,-0.4347879254312871,0.3348045884296649,0.12191793928483166
