WMUSet,k,NormalFP,LoadSwitchFP,SLGFN,ThreePhaseFN,TotalFP,TotalFN,FaultRecall,NonFaultSpecificity,LoadSwitchSpecificity,BinaryAccuracy,Feasible,FaultScoreMargin,BestThreshold,NonFaultMaxScore,FaultMinScore,ClassifierType,UsedFeatureSet
23,1,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.23953114795546537,0.5904505417344484,0.9127131808137707,0.6731820328583054,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
24,1,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.20801920309640243,0.6071645469263467,0.9130202499411775,0.705001046844775,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
25,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.40650904248107217,0.2849450495410776,0.08169052830054147,0.48819957078161363,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
26,1,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.24473237346557153,0.6052388998235576,0.9407864623646014,0.6960540888990299,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
27,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.5116159026316066,0.21721194671823643,-0.03859600459756688,0.47301989803403977,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
28,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.024968492221764782,0.43851833870890927,0.4260340925980269,0.45100258481979166,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
29,1,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.18074911525099624,0.6530191143332693,0.9437152738427488,0.7629661585917525,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
30,1,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.157303893720524,0.6823864593841393,0.945874786669224,0.7885708929487,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|2,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.15635658769930738,0.003630605436769102,0.2906672860849667,0.13431069838565934,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|3,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.08530760796749015,0.6636280932901802,0.8984148302112911,0.8131072222438009,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|4,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.08849814424181712,0.664892773742205,0.9034095589254829,0.8149114146836658,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|5,2,0,0,1,0,0,1,0.9833333333333333,1.0,1.0,0.9920634920634921,False,-0.09178895879372839,0.30332857429006566,0.2944629759464166,0.20267401715268824,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|6,2,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.12547232142892978,0.35228428976916737,0.28954812905470245,0.41502045048363223,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|7,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.10268790653852689,0.6605425721085294,0.9044016281662395,0.8017137216277126,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|8,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.141769049322503,0.6351154331150397,0.9044016281662395,0.7626325788437365,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|9,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.14950242865227437,0.007168415926901095,0.2900835987289444,0.14058117007667004,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|10,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.08741124317283921,0.6598362239894462,0.8962632368932665,0.8088519937204273,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|11,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.27965127385552097,-0.06409120774160737,0.2944629759464166,0.014811702090895662,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|12,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.08802523542121898,0.6664713431881397,0.9027162984489812,0.8146910630277622,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|13,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.3071370327004872,-0.07823298463144357,0.2944629759464166,-0.012674056754070573,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|14,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.11428362622564048,0.6541060249933282,0.9042337565023487,0.7899501302767082,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|15,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.0896745095175181,0.6525449587288126,0.8943442365503603,0.8046697270328422,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|16,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.13496887246070222,0.6346070761820992,0.9003731347754634,0.7654042623147612,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|17,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.09645146441321673,0.6469169616580241,0.8895947061693353,0.7931432417561186,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|18,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.10204559097593613,0.6565110432707795,0.8999571878705922,0.7979115968946561,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|19,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.09479384410645653,0.662522791937562,0.9033835216545182,0.8085896775480617,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|20,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.08398294252818261,0.6622489598190824,0.895119545743944,0.8111366032157614,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|21,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.0903871642713937,0.6614341704652684,0.9044016281662395,0.8140144638948458,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|22,2,0,0,1,0,0,1,0.9833333333333333,1.0,1.0,0.9920634920634921,False,-0.08731144317422665,0.30361269705971355,0.2944629759464166,0.20715153277218998,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|23,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.09186797105848088,0.6601263538591751,0.9044016281662395,0.8125336571077586,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|24,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.09233574630936525,0.6603619610357208,0.9044016281662395,0.8120658818568742,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|25,2,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.1376512545640038,0.3632886032284185,0.2944629759464166,0.4321142305104204,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|26,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.09145888884689501,0.6624276755550318,0.9044016281662395,0.8129427393193445,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|27,2,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.12863039861281195,0.35877817525282263,0.2944629759464166,0.4230933745592286,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|28,2,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.010794636812363034,0.4229429016530639,0.4175455832468824,0.42834022005924544,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|29,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.08840869231900139,0.6646312781816779,0.9044016281662395,0.8159929358472381,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
1|30,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.08840869231900139,0.6646686087778019,0.9044016281662395,0.8159929358472381,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|3,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.09487627694958078,0.6588437587991349,0.8984148302112911,0.8035385532617103,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|4,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.09504950302532489,0.6597192494197262,0.899613869064033,0.8045643660387081,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|5,2,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.05095076533033033,0.2867187899685496,0.2612434073033844,0.31219417263371474,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|6,2,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.31854833085539663,0.252594747168148,0.09332058174044967,0.4118689125958463,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|7,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.09889221667707693,0.6601399974639027,0.9006059383047895,0.8017137216277126,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|8,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.1409606090504305,0.6326525543730661,0.9006059383047895,0.759645329254359,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|9,2,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.004255598793053178,0.13530183279235752,0.13317403339583092,0.1374296321888841,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|10,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.09872772226027404,0.6532256713058655,0.8951637599027931,0.796436037642519,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
