NetworkID,Model,Variant,WMUCount,SelectedWMUBuses,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE,TrainCases,TestCases
ieee30,RandomForest,F_existing_norm_rank_vi,3,1;10;6,0.95,0.95,0.16111111111111112,442,221
ieee30,ExtraTrees,Baseline,5,1;10;6;24;30,0.6333333333333333,0.6333333333333333,1.5833333333333333,442,221
ieee30,RandomForest,Baseline,5,1;10;6;24;30,0.2,0.2,3.0,442,221
ieee30,ExtraTrees,A_voltage_only,5,1;10;6;24;30,0.7611111111111111,0.7611111111111111,0.9444444444444444,442,221
ieee30,RandomForest,A_voltage_only,5,1;10;6;24;30,0.6555555555555556,0.6555555555555556,1.4722222222222223,442,221
ieee30,ExtraTrees,B_current_only,5,1;10;6;24;30,0.2,0.2,3.0,442,221
ieee30,RandomForest,B_current_only,5,1;10;6;24;30,0.2,0.2,3.0,442,221
ieee30,ExtraTrees,C_existing_VC,5,1;10;6;24;30,0.5555555555555556,0.5555555555555556,1.9722222222222223,442,221
ieee30,RandomForest,C_existing_VC,5,1;10;6;24;30,0.2,0.2,3.0,442,221
ieee30,ExtraTrees,D_existing_norm,5,1;10;6;24;30,1.0,1.0,0.0,442,221
ieee30,RandomForest,D_existing_norm,5,1;10;6;24;30,0.9888888888888889,0.9888888888888889,0.05555555555555555,442,221
ieee30,ExtraTrees,E_existing_norm_rank,5,1;10;6;24;30,1.0,1.0,0.0,442,221
ieee30,RandomForest,E_existing_norm_rank,5,1;10;6;24;30,1.0,1.0,0.0,442,221
ieee30,ExtraTrees,F_existing_norm_rank_vi,5,1;10;6;24;30,1.0,1.0,0.0,442,221
ieee30,RandomForest,F_existing_norm_rank_vi,5,1;10;6;24;30,1.0,1.0,0.0,442,221
ieee30,ExtraTrees,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,0.65,0.65,1.5,442,221
ieee30,RandomForest,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,0.3111111111111111,0.42777777777777776,2.4444444444444446,442,221
