NetworkID,Model,Variant,WMUCount,SelectedWMUBuses,TestResistanceOhm,TrainCases,TestCases,FaultTestCases,FeatureColumnsPerWMU,Accuracy,Precision,Recall,F1,FalsePositiveRate,FalseNegativeRate,TN,FP,FN,TP,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE,CoarseCategoryMacroF1,FaultType4ClassMacroF1
ieee14,ExtraTrees,E_existing_norm_rank,5,11;6;1;14;2,10.0,405,204,180,50,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,1.0,1.0,0.0,0.6564746520762644,0.5613010613953942
ieee14,RandomForest,E_existing_norm_rank,5,11;6;1;14;2,10.0,405,204,180,50,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,1.0,1.0,0.0,0.13333333333333333,0.1
ieee14,ExtraTrees,F_existing_norm_rank_vi,5,11;6;1;14;2,10.0,405,204,180,52,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,1.0,1.0,0.0,0.9063731512624787,0.43336640211640215
ieee14,RandomForest,F_existing_norm_rank_vi,5,11;6;1;14;2,10.0,405,204,180,52,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.9777777777777777,0.9777777777777777,0.06666666666666667,0.13333333333333333,0.1
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,10.0,405,204,180,40,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.2,0.2,2.0,0.5282324397893366,0.33913077000634606
ieee14,RandomForest,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,10.0,405,204,180,40,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.2,0.25,1.9388888888888889,0.13333333333333333,0.1
ieee14,ExtraTrees,A_voltage_only,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,10.0,405,204,180,18,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.2,0.2,2.0,0.13333333333333333,0.5785233575202227
ieee14,RandomForest,A_voltage_only,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,10.0,405,204,180,18,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.2,0.2,2.0,0.13333333333333333,0.1
ieee14,ExtraTrees,B_current_only,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,10.0,405,204,180,18,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.2,0.2,2.0166666666666666,0.13333333333333333,0.1
ieee14,RandomForest,B_current_only,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,10.0,405,204,180,18,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.2,0.25,1.9555555555555555,0.13333333333333333,0.1
ieee14,ExtraTrees,C_existing_VC,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,10.0,405,204,180,36,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.2,0.2,2.0,0.13333333333333333,0.1
ieee14,RandomForest,C_existing_VC,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,10.0,405,204,180,36,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.2,0.2,2.0722222222222224,0.13333333333333333,0.1
ieee14,ExtraTrees,D_existing_norm,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,10.0,405,204,180,46,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.7888888888888889,0.9777777777777777,0.23333333333333334,0.5943031891655745,0.5914977992153112
ieee14,RandomForest,D_existing_norm,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,10.0,405,204,180,46,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.9277777777777778,0.9666666666666667,0.10555555555555556,0.13333333333333333,0.1
ieee14,ExtraTrees,E_existing_norm_rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,10.0,405,204,180,50,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.9944444444444445,0.9944444444444445,0.011111111111111112,0.5938540859878579,0.6265530466724287
ieee14,RandomForest,E_existing_norm_rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,10.0,405,204,180,50,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,1.0,1.0,0.0,0.13333333333333333,0.1
ieee14,ExtraTrees,F_existing_norm_rank_vi,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,10.0,405,204,180,52,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,1.0,1.0,0.0,0.7380087735086623,0.5807640678694158
ieee14,RandomForest,F_existing_norm_rank_vi,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,10.0,405,204,180,52,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.9944444444444445,0.9944444444444445,0.011111111111111112,0.13333333333333333,0.1
ieee30,ExtraTrees,Baseline,3,1;10;6,10.0,442,221,180,40,0.9728506787330317,1.0,0.9666666666666667,0.9830508474576272,0.0,0.03333333333333333,41,0,6,174,0.8055555555555556,0.8055555555555556,0.7055555555555556,0.5990842490842491,0.4170491409347591
ieee30,RandomForest,Baseline,3,1;10;6,10.0,442,221,180,40,0.7963800904977375,1.0,0.75,0.8571428571428571,0.0,0.25,41,0,45,135,0.5,0.5,1.75,0.13333333333333333,0.1
ieee30,ExtraTrees,A_voltage_only,3,1;10;6,10.0,442,221,180,18,1.0,1.0,1.0,1.0,0.0,0.0,41,0,0,180,0.8,0.8,0.75,0.4657567049808429,0.375
ieee30,RandomForest,A_voltage_only,3,1;10;6,10.0,442,221,180,18,1.0,1.0,1.0,1.0,0.0,0.0,41,0,0,180,0.8,0.8,0.75,0.14125457875457875,0.16156325543916195
ieee30,ExtraTrees,B_current_only,3,1;10;6,10.0,442,221,180,18,0.9321266968325792,1.0,0.9166666666666666,0.9565217391304348,0.0,0.08333333333333333,41,0,15,165,0.25,0.25,2.683333333333333,0.13333333333333333,0.1875
ieee30,RandomForest,B_current_only,3,1;10;6,10.0,442,221,180,18,0.7963800904977375,1.0,0.75,0.8571428571428571,0.0,0.25,41,0,45,135,0.20555555555555555,0.20555555555555555,3.216666666666667,0.13333333333333333,0.1
ieee30,ExtraTrees,C_existing_VC,3,1;10;6,10.0,442,221,180,36,1.0,1.0,1.0,1.0,0.0,0.0,41,0,0,180,0.8,0.8,0.75,0.3270264681555004,0.1
ieee30,RandomForest,C_existing_VC,3,1;10;6,10.0,442,221,180,36,0.832579185520362,1.0,0.7944444444444444,0.8854489164086687,0.0,0.20555555555555555,41,0,37,143,0.5166666666666667,0.5166666666666667,1.6444444444444444,0.13333333333333333,0.1
ieee30,ExtraTrees,D_existing_norm,3,1;10;6,10.0,442,221,180,46,0.9864253393665159,1.0,0.9833333333333333,0.9915966386554622,0.0,0.016666666666666666,41,0,3,177,0.95,0.95,0.15,0.6481387047424784,0.3939860475401249
ieee30,RandomForest,D_existing_norm,3,1;10;6,10.0,442,221,180,46,0.7963800904977375,1.0,0.75,0.8571428571428571,0.0,0.25,41,0,45,135,0.95,0.95,0.15,0.28183229813664595,0.1875
ieee30,ExtraTrees,E_existing_norm_rank,3,1;10;6,10.0,442,221,180,50,0.9502262443438914,1.0,0.9388888888888889,0.9684813753581661,0.0,0.06111111111111111,41,0,11,169,0.95,0.95,0.15,0.4227537168713639,0.34925431711146
